NACE2,EXIOBASE name,EXIOBASE code
94.92,Membership organisation services n.e.c. (91),p91
94.99,Membership organisation services n.e.c. (91),p91
95.11,Computer and related services (72),p72
95.12,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
95.12,"Radio, television and communication equipment and apparatus (32)",p32
95.21,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
95.22,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
95.23,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
95.24,Furniture; other manufactured goods n.e.c. (36),p36
95.25,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
95.29,Furniture; other manufactured goods n.e.c. (36),p36
95.29,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",p52
96.01,Other services (93),p93
96.02,Other services (93),p93
96.03,Other services (93),p93
96.04,Other services (93),p93
96.09,Other services (93),p93
97.0,Private households with employed persons (95),p95
98.1,Private households with employed persons (95),p95
98.2,Private households with employed persons (95),p95
99.0,Extra-territorial organizations and bodies,p99
